"DATA","APERTURA","MASSIMO","MINIMO","CHIUSURA","VAR % CLOSE","VOLUME"
"02/03/18","22.283,94","22.298,71","21.832,93","21.912,14","-2,39","524250946"
"05/03/18","21.468,88","21.826,74","21.460,46","21.819,91","-0,42","564631074"
"06/03/18","22.000,14","22.273,55","21.950,22","22.202,50","1,75","667276190"
"07/03/18","22.134,39","22.521,46","22.100,55","22.473,47","1,22","609506402"
"08/03/18","22.514,93","22.791,79","22.417,47","22.731,10","1,15","711266744"
"09/03/18","22.710,84","22.778,84","22.621,81","22.745,60","0,06","583760797"
"12/03/18","22.888,91","22.906,63","22.710,83","22.764,91","0,08","361076010"
"13/03/18","22.806,49","22.871,82","22.588,90","22.690,98","-0,32","472243860"
"14/03/18","22.694,67","22.786,94","22.400,58","22.452,34","-1,05","449244145"
"15/03/18","22.539,60","22.736,28","22.454,15","22.713,47","1,16","525529358"
"16/03/18","22.780,03","22.938,06","22.685,40","22.857,69","0,63","739734181"
"19/03/18","22.843,11","22.874,19","22.595,43","22.633,10","-0,98","360620175"
"20/03/18","22.641,39","22.836,53","22.597,46","22.798,15","0,73","372877363"
"21/03/18","22.837,78","22.858,16","22.674,06","22.820,12","0,10","363866477"
"22/03/18","22.694,37","22.830,41","22.208,26","22.397,84","-1,85","489652014"
"23/03/18","22.127,33","22.366,65","21.964,82","22.289,10","-0,49","483651707"
"26/03/18","22.354,47","22.354,47","21.921,46","22.011,76","-1,24","373531084"
"27/03/18","22.336,82","22.394,18","22.170,51","22.209,75","0,90","346834940"
"28/03/18","22.013,65","22.331,36","21.918,99","22.331,36","0,55","421750346"
"29/03/18","22.381,10","22.556,90","22.326,98","22.411,15","0,36","337304519"
"03/04/18","22.288,50","22.560,99","22.219,86","22.510,33","0,44","356693212"
"04/04/18","22.523,65","22.538,41","22.205,68","22.442,78","-0,30","364807811"
"05/04/18","22.733,85","22.976,65","22.714,24","22.969,50","2,35","484819003"
"06/04/18","22.933,41","23.000,43","22.865,96","22.929,87","-0,17","621123984"
"09/04/18","22.997,35","23.126,92","22.946,52","23.053,99","0,54","618283005"
"10/04/18","23.167,30","23.193,97","23.037,37","23.173,68","0,52","674810153"
"11/04/18","23.133,41","23.206,03","22.957,62","23.012,86","-0,69","682613738"
"12/04/18","23.022,83","23.331,44","23.006,54","23.304,88","1,27","461257278"
"13/04/18","23.322,32","23.432,77","23.278,03","23.330,32","0,11","412309786"
"16/04/18","23.342,68","23.411,14","23.292,35","23.329,31","0,00","305292969"
"17/04/18","23.406,84","23.674,20","23.386,52","23.649,04","1,37","503732762"
"18/04/18","23.687,01","23.801,67","23.605,13","23.759,88","0,47","422370109"
"19/04/18","23.766,19","23.822,58","23.696,76","23.792,04","0,14","403527700"
