DATA,APERTURA,MASSIMO,MINIMO,CHIUSURA,VAR % CLOSE,VOLUME
05/12/19,"13.144,40","13.188,65","13.054,80","13.054,80","-0,65",54216405
06/12/19,"13.087,50","13.171,20","13.056,00","13.166,60","0,86",60141661
09/12/19,"13.147,55","13.170,75","13.100,25","13.105,60","-0,46",50345087
10/12/19,"13.065,85","13.091,70","12.886,55","13.070,70","-0,27",80063951
11/12/19,"13.075,45","13.169,75","13.042,70","13.146,75","0,58",69220499
12/12/19,"13.167,55","13.287,80","13.105,05","13.221,65","0,57",83998794
13/12/19,"13.383,25","13.423,40","13.255,55","13.282,70","0,46",106137124
16/12/19,"13.349,85","13.425,85","13.338,40","13.407,65","0,94",71200805
17/12/19,"13.391,25","13.394,45","13.269,45","13.287,85","-0,89",79260456
18/12/19,"13.266,35","13.286,00","13.215,90","13.222,15","-0,49",71000997
19/12/19,"13.226,70","13.249,00","13.140,20","13.211,95","-0,08",84018156
20/12/19,"13.210,25","13.324,10","13.201,80","13.318,90","0,81",170723223
23/12/19,"13.304,75","13.331,85","13.285,55","13.301,00","-0,13",56215375
27/12/19,"13.338,30","13.381,45","13.311,50","13.337,10","0,27",43758558
30/12/19,"13.301,45","13.316,60","13.244,15","13.249,00","-0,66",31427409
02/01/20,"13.233,70","13.425,05","13.225,15","13.385,95","1,03",75341368
03/01/20,"13.266,40","13.282,75","13.120,70","13.219,15","-1,25",80793402
06/01/20,"13.085,50","13.143,10","12.948,15","13.127,00","-0,70",71778648
07/01/20,"13.199,60","13.283,90","13.166,40","13.226,85","0,76",78282325
08/01/20,"13.140,50","13.334,05","13.106,25","13.320,20","0,71",88178791
09/01/20,"13.474,75","13.523,35","13.456,80","13.495,05","1,31",86965605
10/01/20,"13.533,45","13.548,20","13.483,30","13.483,30","-0,09",77941022
13/01/20,"13.521,85","13.529,20","13.404,70","13.451,50","-0,24",67208343
14/01/20,"13.439,20","13.487,90","13.362,20","13.456,50","0,04",74555365
15/01/20,"13.444,95","13.458,90","13.388,50","13.432,30","-0,18",72046445
16/01/20,"13.463,45","13.492,75","13.383,00","13.429,45","-0,02",39611772
17/01/20,"13.513,50","13.557,80","13.497,30","13.526,15","0,72",86342758
20/01/20,"13.503,85","13.550,85","13.487,20","13.548,95","0,17",52882445
21/01/20,"13.456,90","13.560,70","13.443,25","13.555,85","0,05",64630880
22/01/20,"13.601,65","13.640,05","13.498,05","13.515,75","-0,30",73130717
23/01/20,"13.455,90","13.486,15","13.382,25","13.388,40","-0,94",90749929
24/01/20,"13.512,85","13.604,85","13.510,80","13.576,70","1,41",87986422
27/01/20,"13.375,00","13.399,40","13.195,30","13.204,75","-2,74",101409189
28/01/20,"13.274,00","13.327,10","13.163,35","13.323,70","0,90",91825265
29/01/20,"13.316,40","13.371,30","13.296,05","13.345,00","0,16",67876754
30/01/20,"13.186,50","13.262,20","13.118,95","13.157,10","-1,41",100706051
31/01/20,"13.196,80","13.208,45","12.973,70","12.981,95","-1,33",106903828
03/02/20,"13.033,15","13.077,55","12.987,55","13.045,20","0,49",81389097
04/02/20,"13.135,60","13.282,65","13.131,05","13.281,75","1,81",80887430
05/02/20,"13.224,25","13.488,60","13.223,15","13.478,35","1,48",108453850
06/02/20,"13.570,35","13.606,95","13.533,65","13.574,80","0,72",114567932
07/02/20,"13.530,75","13.551,05","13.464,00","13.513,80","-0,45",87036924
10/02/20,"13.476,00","13.501,75","13.445,40","13.494,05","-0,15",60456491
11/02/20,"13.604,75","13.668,45","13.557,95","13.627,85","0,99",104753454
12/02/20,"13.671,15","13.758,70","13.658,15","13.749,80","0,89",86733295
13/02/20,"13.695,95","13.745,45","13.576,95","13.745,45","-0,03",92086973
14/02/20,"13.756,45","13.788,50","13.728,10","13.744,20","-0,01",66314909
17/02/20,"13.770,65","13.795,25","13.754,05","13.783,90","0,29",57400064
18/02/20,"13.668,95","13.731,40","13.660,45","13.681,20","-0,75",82088707
19/02/20,"13.751,05","13.789,00","13.710,80","13.789,00","0,79",90192858
20/02/20,"13.774,45","13.788,40","13.664,00","13.664,00","-0,91",86435175
21/02/20,"13.609,95","13.689,25","13.500,50","13.579,35","-0,62",108765356
24/02/20,"13.231,40","13.236,60","12.982,15","13.035,25","-4,01",165148940
25/02/20,"13.132,05","13.132,05","12.778,65","12.790,50","-1,88",129552457
26/02/20,"12.682,15","12.849,15","12.368,05","12.774,90","-0,12",163618876
27/02/20,"12.526,60","12.593,60","12.211,65","12.367,45","-3,19",191240879
28/02/20,"11.891,85","12.008,60","11.724,10","11.890,35","-3,86",274623736
02/03/20,"12.030,25","12.121,60","11.624,65","11.857,85","-0,27",207214106
03/03/20,"12.013,05","12.273,00","11.906,80","11.985,40","1,08",195936581
04/03/20,"11.992,60","12.199,80","11.929,25","12.127,70","1,19",147845684
05/03/20,"12.191,40","12.207,75","11.844,90","11.944,70","-1,51",148085992
06/03/20,"11.694,55","11.769,85","11.447,20","11.541,85","-3,37",195038510
09/03/20,"10.690,10","10.995,20","10.556,65","10.625,00","-7,94",305324286
10/03/20,"10.725,00","11.032,30","10.423,90","10.475,50","-1,41",267400777
11/03/20,"10.601,85","10.761,45","10.390,50","10.438,70","-0,35",216708903
12/03/20,"9.864,00","9.932,55","9.139,10","9.161,15","-12,24",390476955
13/03/20,"9.480,80","9.985,75","9.064,70","9.232,10","0,77",325900893
